15
29	0	0	0	33	34	0	0	0	80	81	0	0	0	181
0	27	0	0	0	0	0	0	0	0	0	0	0	179	0
0	0	0	40	0	64	0	66	0	78	0	88	0	0	0
0	0	24	43	42	63	0	73	0	77	92	91	90	0	0
17	0	0	44	0	0	0	0	0	0	0	94	0	0	185
16	0	48	47	0	59	102	101	98	97	0	95	174	0	186
0	0	0	0	0	58	103	100	99	142	0	0	0	0	0
0	0	50	51	0	57	104	139	140	141	0	145	172	0	0
0	0	0	0	0	56	105	138	149	148	0	0	0	0	0
8	0	116	113	0	109	106	137	150	151	0	161	164	0	192
5	0	0	112	0	0	0	0	0	0	0	158	0	0	193
0	0	118	131	132	133	0	135	0	155	156	157	166	0	0
0	0	0	130	0	224	0	210	0	208	0	206	0	0	0
0	123	0	0	0	0	0	0	0	0	0	0	0	199	0
1	0	0	0	127	222	0	0	0	218	217	0	0	0	201
